No,Weight (g),Roundness,Upper Petal,Lower Petal,Max Frequency (Hz),Max Magnitude,Sweetness (%Brix),Class
,58.999566339043,0.917,,5,127.458716417373,84.8824749293594,17.3031387603893,0
87.0,68.1,0.961,4.0,5,123.32,21.03,17.125,0
67.0,63.3,0.956,4.0,4,171.71,40.84,15.875,0
52.0,61.87,0.977,4.0,6,130.276326530612,43.56,16.75,0
,51.4772391756606,0.941,,7,59.7424826429214,85.4528102180057,15.10178178616,0
,92.2179418173253,0.926,,5,131.787027355061,96.0251398575692,14.8364848162842,0
,67.4371128192561,0.95,,7,124.614517842734,23.4538657720457,16.4300684958326,0
,62.0322906951165,0.928,,6,172.317531461743,39.076340239748,16.2774214300587,0
63.0,89.86,0.952,4.0,6,130.276326530612,95.78,15.625,0
,49.5621576211115,0.931,,6,174.694221875553,16.8951633164937,17.397362032071,0
,80.0096358098594,0.96,,7,127.269616186477,63.7976292420698,17.1033314609747,0
53.0,75.29,0.964,4.0,5,130.276326530612,43.13,17.375,0
,49.6445303323738,0.915,,6,73.9501398592192,30.3929669295522,17.1238318606738,0
,62.3393971397072,0.98,,5,127.697984957232,41.9319166367485,16.9457092921937,0
,89.9466558290264,0.913,,5,135.780293925815,93.8855189171805,12.226246463581,0
54.0,80.19,0.955,4.0,6,130.276326530612,62.87,14.875,0
74.0,60.12,0.973,4.0,6,174.01,53.75,16.0,0
,83.0825966155677,0.974,,5,173.616260379997,52.6951760432964,16.9613429443028,0
38.0,91.92,0.969,4.0,5,173.68,43.84,17.5,1
,63.6570627973951,0.923,,7,68.746096883321,51.2110012219285,17.6699028581267,1
79.0,57.04,0.969,4.0,5,169.97,24.89,17.5,1
,66.7491808591005,0.95,,7,123.830832113796,16.6383524175359,18.6197236681257,1
,65.1034200604577,0.937,,5,99.6906733407445,38.468510365916,18.082068420535,1
,54.3377060572973,0.937,,6,83.2551412888279,34.2792393057467,19.44369690519,1
,60.4840874380837,0.972,,6,101.027690980677,48.6670494048101,17.6237106223297,1
125.0,50.34,0.959,4.0,5,99.99,30.67,21.125,1
,61.1855135197117,0.961,,5,100.515392299948,41.5977748305843,18.3030882223153,1
,55.5612354551141,0.972,,7,100.941703423224,20.0206298780449,18.3740169647912,1
,95.8142454322154,0.976,,6,79.2063748388611,42.1753536640415,17.8918938444061,1
,65.6155035156927,0.924,,6,105.492115284849,37.6274367276613,18.3504773797116,1
90.0,60.56,0.975,4.0,5,130.276326530612,27.45,17.75,1
,57.7023795716414,0.968,,5,58.605514932925,80.902746715537,17.8029035400477,1
,67.5467327317381,0.958,,5,130.958499505469,25.9092965569643,19.4739559616502,1
,56.4348578207029,0.963,,6,134.716273223354,22.018781353141,18.046755491061,1
,83.1814656539247,0.959,,6,125.965239398705,85.3966299122471,21.8464072103187,1
132.0,71.29,0.949,4.0,6,130.276326530612,24.0,17.875,1
,82.0854227413935,0.974,,5,171.644820814109,55.681576992445,18.8151369328161,1
94.0,56.22,0.962,4.0,6,76.04,17.17,17.625,1
,51.9116404455443,0.98,,5,104.541184708261,29.6004582025,22.0803388999837,1
