No,Mangosteen Weight (g),Roundness,Upper Petal,Lower Petal,Max Frequency (Hz),Max Magnitude,Sweetness (%Brix),Class
6,99.95,0.895,4,6,184.49,42.64,19.25,1
125,50.34,0.959,4,5,99.99,30.67,21.125,1
8,42.49,0.932,4,6,130.27632653061224,22.29,18.125,1
15,76.33,0.915,4,5,175.85,45.68,22.5,1
25,50.21,0.906,4,6,99.7,66.54,18.0,1
112,53.71,0.923,4,5,209.18,16.33,19.5,1
57,61.53,0.937,4,6,130.27632653061224,82.98,20.125,1
11,68.26,0.902,4,6,177.89,83.31,18.875,1
21,73.54,0.9,4,6,176.63,92.27,20.75,1
16,50.47,0.948,4,5,130.27632653061224,59.92,19.875,1
81,56.88,0.916,4,6,134.46,21.1,19.0,1
27,65.77,0.894,4,6,179.25,80.3,21.0,1
134,46.39,0.961,4,6,99.98,38.97,19.5,1
92,45.47,0.964,4,6,130.27632653061224,14.7,20.25,1
127,40.3,0.979,4,6,102.33,33.43,20.25,1
130,53.96,0.874,4,5,148.53,16.91,21.375,1
24,51.48,0.968,4,6,130.27632653061224,72.98,22.375,1
107,50.35,0.969,4,7,172.02,18.15,18.625,1
18,80.0,0.912,4,6,130.27632653061224,69.1,20.375,1
147,42.86,0.939,4,7,99.53,37.67,19.125,1
118,47.86,0.95,4,5,213.76,22.81,18.875,1
148,45.46,0.944,4,4,102.05,47.16,18.5,1
91,46.08,0.978,4,7,209.86,18.73,20.375,1
117,46.69,0.935,4,6,130.27632653061224,18.86,18.0,1
133,48.3,0.92,4,5,261.82,32.55,21.25,1
28,58.49,0.897,4,5,143.87,65.84,21.25,1
30,82.26,0.921,4,6,125.89,84.62,20.875,1
86,49.48,0.933,4,5,99.92,27.36,18.375,1
114,70.7,0.959,4,5,96.98,23.66,14.75,0
150,53.95,0.969,4,5,96.7,33.08,15.0,0
140,52.93,0.971,4,6,83.26,34.07,16.875,0
36,82.87,0.947,4,6,103.21,36.9,17.0,0
149,55.38,0.941,4,5,99.94,50.07,17.125,0
101,56.8,0.958,4,6,75.44,14.61,17.0,0
74,60.12,0.973,4,6,174.01,53.75,16.0,0
53,75.29,0.964,4,5,130.27632653061224,43.13,17.375,0
62,55.81,0.981,4,5,58.74,81.85,15.375,0
90,60.56,0.975,4,5,130.27632653061224,27.45,17.75,0
151,57.7,0.947,4,6,98.88,27.45,16.125,0
52,61.87,0.977,4,6,130.27632653061224,43.56,16.75,0
94,56.22,0.962,4,6,76.04,17.17,17.625,0
71,57.21,0.951,4,6,133.2,29.89,15.25,0
79,57.04,0.969,4,5,169.97,24.89,17.5,0
87,68.1,0.961,4,5,123.32,21.03,17.125,0
67,63.3,0.956,4,4,171.71,40.84,15.875,0
143,57.84,0.961,4,6,101.45,29.99,16.875,0
83,65.24,0.952,4,4,135.17,25.4,17.5,0
58,61.28,0.926,4,5,69.04,48.78,16.75,0
63,89.86,0.952,4,6,130.27632653061224,95.78,15.625,0
121,81.86,0.967,4,7,137.0,23.98,17.125,0
146,55.65,0.967,4,6,99.99,22.65,17.25,0
68,55.21,0.971,4,6,174.76,27.61,17.0,0
152,63.08,0.94,4,6,99.91,38.46,17.375,0
38,91.92,0.969,4,5,173.68,43.84,17.5,0
138,54.6,0.979,4,6,96.7,37.37,17.0,0
54,80.19,0.955,4,6,130.27632653061224,62.87,14.875,0
70,62.65,0.955,4,6,120.3,18.24,17.25,0
45,68.64,0.9474273504273504,4,6,80.47,69.38,16.0,0
131,60.75,0.962,4,6,100.1,25.42,16.375,0
39,83.24,0.9474273504273504,4,7,173.94,53.83,16.5,0
109,57.26,0.969,4,6,172.52,22.91,12.5,0
42,94.22,0.902,4,6,76.01,39.16,17.125,0
120,53.69,0.935,4,5,96.71,19.82,14.5,0
142,56.18,0.976,4,6,96.46,28.26,16.375,0
96,60.85,0.952,4,6,96.97,24.64,17.25,0
82,65.19,0.97,4,7,164.24,27.19,17.625,0
136,51.88,0.931,4,5,75.68,32.34,17.625,0
85,60.2,0.935,4,5,99.95,30.39,17.375,0
132,71.29,0.949,4,6,130.27632653061224,24.0,17.875,0
139,54.63,0.942,4,6,101.91,19.93,15.75,0
