No.,Max Frequency (Hz),Max Magnitude
64.wav,172.31,32.30
65.wav,172.22,38.54
66.wav,170.60,29.27
67.wav,171.71,40.84
68.wav,174.76,27.61
69.wav,280.63,44.93
70.wav,120.30,18.24
71.wav,133.20,29.89
72.wav,236.17,21.35
73.wav,173.12,30.42
74.wav,174.01,53.75
75.wav,282.14,24.73
76.wav,281.05,66.60
77.wav,281.35,18.30
78.wav,281.41,52.63
79.wav,169.97,24.89
80.wav,155.62,33.47
81.wav,134.46,21.10
82.wav,164.24,27.19
83.wav,135.17,25.40
84.wav,174.01,17.42
85.wav,99.95,30.39
86.wav,99.92,27.36
87.wav,123.32,21.03
88.wav,262.06,25.41
89.wav,281.88,38.61
